angle_deg,bonds,angles,dihedrals,vdw,total
-27.0000,0.395258,0.608629,0.427817,3.176511,4.608215
-26.0000,0.395258,0.608629,0.401466,3.253312,4.658665
-25.0000,0.395258,0.608629,0.375470,3.325402,4.704759
-24.0000,0.395258,0.608629,0.349901,3.392619,4.746407
-23.0000,0.395258,0.608629,0.324829,3.454877,4.783592
-22.0000,0.395258,0.608629,0.300322,3.512164,4.816373
-21.0000,0.395258,0.608629,0.276449,3.564544,4.844880
-20.0000,0.395258,0.608629,0.253273,3.612149,4.869309
-19.0000,0.395258,0.608629,0.230860,3.655173,4.889920
-18.0000,0.395258,0.608629,0.209269,3.693869,4.907025
-17.0000,0.395258,0.608629,0.188561,3.728533,4.920981
-16.0000,0.395258,0.608629,0.168792,3.759503,4.932181
-15.0000,0.395258,0.608629,0.150016,3.787143,4.941046
-14.0000,0.395258,0.608629,0.132285,3.811837,4.948009
-13.0000,0.395258,0.608629,0.115648,3.833978,4.953512
-12.0000,0.395258,0.608629,0.100149,3.853961,4.957996
-11.0000,0.395258,0.608629,0.085832,3.872171,4.961890
-10.0000,0.395258,0.608629,0.072735,3.888983,4.965605
-9.0000,0.395258,0.608629,0.060896,3.904747,4.969530
-8.0000,0.395258,0.608629,0.050345,3.919791,4.974023
-7.0000,0.395258,0.608629,0.041112,3.934411,4.979410
-6.0000,0.395258,0.608629,0.033222,3.948871,4.985980
-5.0000,0.395258,0.608629,0.026697,3.963399,4.993983
-4.0000,0.395258,0.608629,0.021556,3.978183,5.003625
-3.0000,0.395258,0.608629,0.017810,3.993373,5.015070
-2.0000,0.395258,0.608629,0.015473,4.009076,5.028435
-1.0000,0.395258,0.608629,0.014548,4.025356,5.043791
0.0000,0.395258,0.608629,0.015040,4.042231,5.061157
1.0000,0.395258,0.608629,0.016946,4.059671,5.080504
2.0000,0.395258,0.608629,0.020262,4.077600,5.101749
3.0000,0.395258,0.608629,0.024979,4.095889,5.124755
4.0000,0.395258,0.608629,0.031082,4.114357,5.149326
5.0000,0.395258,0.608629,0.038557,4.132770,5.175214
6.0000,0.395258,0.608629,0.047382,4.150840,5.202109
7.0000,0.395258,0.608629,0.057533,4.168224,5.229644
8.0000,0.395258,0.608629,0.068982,4.184528,5.257397
9.0000,0.395258,0.608629,0.081698,4.199306,5.284891
10.0000,0.395258,0.608629,0.095646,4.212068,5.311601
11.0000,0.395258,0.608629,0.110788,4.222283,5.336957
12.0000,0.395258,0.608629,0.127082,4.229386,5.360355
13.0000,0.395258,0.608629,0.144484,4.232794,5.381164
14.0000,0.395258,0.608629,0.162946,4.231908,5.398741
15.0000,0.395258,0.608629,0.182417,4.226135,5.412439
16.0000,0.395258,0.608629,0.202844,4.214897,5.421627
17.0000,0.395258,0.608629,0.224171,4.197645,5.425702
18.0000,0.395258,0.608629,0.246339,4.173880,5.424106
19.0000,0.395258,0.608629,0.269289,4.143165,5.416341
20.0000,0.395258,0.608629,0.292956,4.105139,5.401981
21.0000,0.395258,0.608629,0.317276,4.059529,5.380692
22.0000,0.395258,0.608629,0.342182,4.006166,5.352235
23.0000,0.395258,0.608629,0.367607,3.944986,5.316479
24.0000,0.395258,0.608629,0.393480,3.876042,5.273408
25.0000,0.395258,0.608629,0.419730,3.799500,5.223117
26.0000,0.395258,0.608629,0.446286,3.715645,5.165817
27.0000,0.395258,0.608629,0.473074,3.624866,5.101827
28.0000,0.395258,0.608629,0.500022,3.527658,5.031566
29.0000,0.395258,0.608629,0.527055,3.424603,4.955546
30.0000,0.395258,0.608629,0.554100,3.316364,4.874351
31.0000,0.395258,0.608629,0.581082,3.203664,4.788632
32.0000,0.395258,0.608629,0.607927,3.087270,4.699084
